name	homepage	html_url	description	topics	is_anvil	is_gdscn	is_template	book_title
AnVIL_Book_Getting_Started	https://jhudatascience.org/AnVIL_Book_Getting_Started	https://github.com/jhudsl/AnVIL_Book_Getting_Started	A guide for getting started using AnVIL 	anvil, cloud-computing, course, genomics, guide, scalable-computing	TRUE	FALSE	FALSE	Getting Started on AnVIL
AnVIL_Book_WDL	https://jhudatascience.org/AnVIL_Book_WDL	https://github.com/jhudsl/AnVIL_Book_WDL	Running and writing your first WDL workflow on AnVIL for absolute beginners.	anvil, course, genomics, module, scalable-computing, wdl, workflows	TRUE	FALSE	FALSE	WDL Workflows
AnVIL_Collection	https://hutchdatascience.org/AnVIL_Collection/	https://github.com/fhdsl/AnVIL_Collection	📚 An auto-generating collection of all materials related to the AnVIL and GDSCN projects	anvil, content-library, edtech-software, gdscn, website	TRUE	TRUE	FALSE	AnVIL Collection
AnVIL_Book_Instructor_Guide	https://jhudatascience.org/AnVIL_Book_Instructor_Guide	https://github.com/jhudsl/AnVIL_Book_Instructor_Guide	A guide for instructors using AnVIL for workshops, lessons, or courses.	anvil, course, education, guide, scalable-computing	TRUE	FALSE	FALSE	AnVIL Instructor Guide
AnVIL_WDLs	https://github.com/fhdsl/AnVIL_WDLs/tree/main	https://github.com/fhdsl/AnVIL_WDLs	Raw WDL workflow files for use on AnVIL and other platforms	anvil, genomics, wdl, workflows	TRUE	FALSE	FALSE	AnVIL WDL Workflows
AnVIL_CoFests_2025	https://jhudatascience.org/AnVIL_CoFests_2025/	https://github.com/jhudsl/AnVIL_CoFests_2025	Information about AnVIL Community Conference CoFest Sessions - Sept 2025	anvil, conference, workshops	TRUE	FALSE	FALSE	AnVIL CoFests! 2025
GDSCN_Book_Statistics_for_Genomics_PCA	https://jhudatascience.org/GDSCN_Book_Statistics_for_Genomics_PCA/	https://github.com/jhudsl/GDSCN_Book_Statistics_for_Genomics_PCA	A set of lab modules for PCA analysis	anvil, course, gdscn, genomics, module, pca, scalable-computing	TRUE	TRUE	FALSE	Statistics for Genomics: PCA
AnVIL_Data_Subsetting	https://hutchdatascience.org/AnVIL_Data_Subsetting/	https://github.com/fhdsl/AnVIL_Data_Subsetting	Tutorial for running the fastq_subsample WDL workflow on AnVIL!	anvil, course, genomics, module, scalable-computing, wdl, wdl-workflow, workflow	TRUE	FALSE	FALSE	AnVIL: Subsetting Your Data with WDL
GDSCN_SARS_RStudio_on_AnVIL	https://hutchdatascience.org/GDSCN_SARS_RStudio_on_AnVIL/	https://github.com/fhdsl/GDSCN_SARS_RStudio_on_AnVIL	Lab module and lectures for identifying phylogenetic history of SARS variants using R	anvil, course, gdscn, module, phylogenetic-analysis, sars-cov-2, scalable-computing	TRUE	TRUE	FALSE	GDSCN Book: SARS with RStudio on AnVIL
GDSCN_BioDIGS_Soil	http://hutchdatascience.org/GDSCN_BioDIGS_Soil/	https://github.com/fhdsl/GDSCN_BioDIGS_Soil	This is a BioDIGS in the Classroom companion guide for the BioDIGS project. This particular activity guides students through exploration and visualization of the soil characteristics data using R.	anvil, biodigs, course, data4all, gdscn, module	TRUE	TRUE	FALSE	BioDIGS: Exploring Soil Data
GDSCN_BioDIGS_AMR	http://hutchdatascience.org/GDSCN_BioDIGS_AMR/	https://github.com/fhdsl/GDSCN_BioDIGS_AMR	This is a BioDIGS in the Classroom companion guide for the BioDIGS project. This particular activity guides students through an investigation of antimicrobial resistance in the BioDIGS samples using Galaxy.	biodigs, course, data4all, gdscn, module	FALSE	TRUE	FALSE	BioDIGS: Antimicrobial Resistance
AnVIL_SRA_Data	https://hutchdatascience.org/AnVIL_SRA_Data/	https://github.com/fhdsl/AnVIL_SRA_Data	Pull Sequence Read Archive (SRA) data into AnVIL	anvil, course, genomics, module, ncbi-database, scalable-computing, sequence-read-archive	TRUE	FALSE	FALSE	AnVIL: SRA Data
GDSCN_Book_Statistics_for_Genomics_scRNA-seq	http://jhudatascience.org/GDSCN_Book_Statistics_for_Genomics_scRNA-seq/	https://github.com/jhudsl/GDSCN_Book_Statistics_for_Genomics_scRNA-seq	A set of lab modules for single cell RNA-seq analysis	anvil, course, gdscn, module, rna-seq, scalable-computing, scrna-seq	TRUE	TRUE	FALSE	Statistics for Genomics: scRNAseq
GDSCN_Book_Statistics_for_Genomics_Differential_Expression	https://jhudatascience.org/GDSCN_Book_Statistics_for_Genomics_Differential_Expression/	https://github.com/jhudsl/GDSCN_Book_Statistics_for_Genomics_Differential_Expression	A set of lab modules for an introduction to differential gene expression	anvil, cloud-computing, course, gdscn, gene-expression, genomics, module, scalable-computing	TRUE	TRUE	FALSE	Statistics for Genomics: Differential Expression
