kind,etag,id,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.channelTitle,snippet.playlistId,snippet.position,snippet.videoOwnerChannelTitle,snippet.videoOwnerChannelId,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.thumbnails.standard.url,snippet.thumbnails.standard.width,snippet.thumbnails.standard.height,snippet.thumbnails.maxres.url,snippet.thumbnails.maxres.width,snippet.thumbnails.maxres.height,snippet.resourceId.kind,snippet.resourceId.videoId,contentDetails.videoId,contentDetails.videoPublishedAt,status.privacyStatus
youtube#playlistItem,npCFBWq1DsL0g6aPGCRbavXcj2M,UEw2YVlKXzB6SjR1Q0FCa01uZ1NZalBvXzNjLW5VVW1pby45NDk1REZENzhEMzU5MDQz,2022-05-03T20:31:25Z,UCBbHCj7kUogAMFyBAzzzfUw,Sharing on AnVIL,"This video will give you a quick introduction to the AnVIL project and how easy it makes it to share data, code, and workflows among collaborators.

Check out the Getting Started Guide here: https://jhudatascience.org/AnVIL_Book_Getting_Started/

You can see the slides for this video here: https://docs.google.com/presentation/d/1IOOzvnKoTMJdRLFjCup_9FqQpumP07NwoBb9mIlD7lM/edit?usp=sharing.",AnVIL Project,PL6aYJ_0zJ4uCABkMngSYjPo_3c-nUUmio,0,AnVIL Project,UCBbHCj7kUogAMFyBAzzzfUw,https://i.ytimg.com/vi/VKDBT4lTDv8/default.jpg,120,90,https://i.ytimg.com/vi/VKDBT4lTDv8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/VKDBT4lTDv8/hqdefault.jpg,480,360,https://i.ytimg.com/vi/VKDBT4lTDv8/sddefault.jpg,640,480,https://i.ytimg.com/vi/VKDBT4lTDv8/maxresdefault.jpg,1280,720,youtube#video,VKDBT4lTDv8,VKDBT4lTDv8,2022-05-03T20:32:24Z,public
youtube#playlistItem,P91gAZe6KfzYowv07vvDgvbUe1Q,UEw2YVlKXzB6SjR1Q0FCa01uZ1NZalBvXzNjLW5VVW1pby4wOTA3OTZBNzVEMTUzOTMy,2022-05-03T19:58:48Z,UCBbHCj7kUogAMFyBAzzzfUw,AnVIL for Analysts,"This video will give you a quick introduction to the AnVIL project and how it can help your research.

Check out the Getting Started Guide here: https://jhudatascience.org/AnVIL_Book_Getting_Started/

You can see the slides for this video here: https://docs.google.com/presentation/d/1Xcvxnm-PW0uhAWEOSpG2SOzvo3f9Zno2tnNkdzVR2ZE/edit?usp=sharing.",AnVIL Project,PL6aYJ_0zJ4uCABkMngSYjPo_3c-nUUmio,1,AnVIL Project,UCBbHCj7kUogAMFyBAzzzfUw,https://i.ytimg.com/vi/3YXlF1mbsWI/default.jpg,120,90,https://i.ytimg.com/vi/3YXlF1mbsWI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3YXlF1mbsWI/hqdefault.jpg,480,360,https://i.ytimg.com/vi/3YXlF1mbsWI/sddefault.jpg,640,480,https://i.ytimg.com/vi/3YXlF1mbsWI/maxresdefault.jpg,1280,720,youtube#video,3YXlF1mbsWI,3YXlF1mbsWI,2022-05-03T20:00:04Z,public
youtube#playlistItem,2NnCL96fvihgnaxPxw1WFCrDHQ8,UEw2YVlKXzB6SjR1Q0FCa01uZ1NZalBvXzNjLW5VVW1pby5DQUNERDQ2NkIzRUQxNTY1,2022-05-03T20:30:17Z,UCBbHCj7kUogAMFyBAzzzfUw,AnVIL for Data Submitters,"This video will give you a quick introduction to the AnVIL project and how it can help you with data submission.

Check out the Getting Started Guide here: https://jhudatascience.org/AnVIL_Book_Getting_Started/

You can see the slides for this video here: https://docs.google.com/presentation/d/1xps-CJbFGxoGy0vAWwSyT2nF3yuUSyNtYm8WGoVBSk8/edit?usp=sharing.",AnVIL Project,PL6aYJ_0zJ4uCABkMngSYjPo_3c-nUUmio,2,AnVIL Project,UCBbHCj7kUogAMFyBAzzzfUw,https://i.ytimg.com/vi/WHtuBIR7MSk/default.jpg,120,90,https://i.ytimg.com/vi/WHtuBIR7MSk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/WHtuBIR7MSk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/WHtuBIR7MSk/sddefault.jpg,640,480,https://i.ytimg.com/vi/WHtuBIR7MSk/maxresdefault.jpg,1280,720,youtube#video,WHtuBIR7MSk,WHtuBIR7MSk,2022-05-03T20:31:06Z,public
youtube#playlistItem,ziM9V6zE4vt_AbcN3CUhXqZEvHc,UEw2YVlKXzB6SjR1Q0FCa01uZ1NZalBvXzNjLW5VVW1pby41NkI0NEY2RDEwNTU3Q0M2,2022-05-03T19:37:06Z,UCBbHCj7kUogAMFyBAzzzfUw,Reproducibility on AnVIL,"This video will give you a quick introduction to making your work more reproducible on AnVIL.

Check out the Getting Started Guide here: https://jhudatascience.org/AnVIL_Book_Getting_Started/

You can see the slides for this video here: https://docs.google.com/presentation/d/11pay_xsBABo8ygQitaEdXo12HNFCbh_K2tarSdskJes/edit?usp=sharing.",AnVIL Project,PL6aYJ_0zJ4uCABkMngSYjPo_3c-nUUmio,3,AnVIL Project,UCBbHCj7kUogAMFyBAzzzfUw,https://i.ytimg.com/vi/tVh93e6TzCE/default.jpg,120,90,https://i.ytimg.com/vi/tVh93e6TzCE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/tVh93e6TzCE/hqdefault.jpg,480,360,https://i.ytimg.com/vi/tVh93e6TzCE/sddefault.jpg,640,480,https://i.ytimg.com/vi/tVh93e6TzCE/maxresdefault.jpg,1280,720,youtube#video,tVh93e6TzCE,tVh93e6TzCE,2022-05-03T19:39:03Z,public
youtube#playlistItem,iP8bApNGnwbWn9wI7tE1QJnRYuo,UEw2YVlKXzB6SjR1Q0FCa01uZ1NZalBvXzNjLW5VVW1pby45ODRDNTg0QjA4NkFBNkQy,2023-03-06T16:40:11Z,UCBbHCj7kUogAMFyBAzzzfUw,Sequence Read Archive (SRA) data on AnVIL,"This video will give you a quick introduction to the AnVIL project and how it can help you use the wealth of data on the NIH Sequence Read Archive, or SRA.

SRA on AnVIL Guide: https://hutchdatascience.org/AnVIL_SRA_Data/ 

Check out the Getting Started Guide here: https://jhudatascience.org/AnVIL_Book_Getting_Started/

AnVIL Help: https://help.anvilproject.org/

NIH SRA: https://www.ncbi.nlm.nih.gov/sra/

You can see the slides for this video here: https://docs.google.com/presentation/d/1bp5zlltpT9HYzm6aBYY8XBoleQ7nrTQNTK34-2Xz6Tg/edit?usp=sharing.",AnVIL Project,PL6aYJ_0zJ4uCABkMngSYjPo_3c-nUUmio,4,AnVIL Project,UCBbHCj7kUogAMFyBAzzzfUw,https://i.ytimg.com/vi/PghTze_qd9g/default.jpg,120,90,https://i.ytimg.com/vi/PghTze_qd9g/mqdefault.jpg,320,180,https://i.ytimg.com/vi/PghTze_qd9g/hqdefault.jpg,480,360,https://i.ytimg.com/vi/PghTze_qd9g/sddefault.jpg,640,480,NA,NA,NA,youtube#video,PghTze_qd9g,PghTze_qd9g,2023-03-06T16:45:22Z,public
youtube#playlistItem,doo8dP5oZRi_vUsgm4d0DYJDiIE,UEw2YVlKXzB6SjR1Q0FCa01uZ1NZalBvXzNjLW5VVW1pby4yODlGNEE0NkRGMEEzMEQy,2022-05-03T19:44:05Z,UCBbHCj7kUogAMFyBAzzzfUw,AnVIL for Instructors,"This video will give you a quick introduction to the AnVIL project and how it can be used in lectures and lab exercises on genomics and bioinformatics.

Check out the Getting Started Guide here: https://jhudatascience.org/AnVIL_Book_Getting_Started/
Check out the Instructor Guide here: https://jhudatascience.org/AnVIL_Book_Instructor_Guide/

You can see the slides for this video here: https://docs.google.com/presentation/d/1U0ylONtIpxjVSua0w3t1-pZ0hqxBcnakNH9teVIC0Og/edit?usp=sharing.",AnVIL Project,PL6aYJ_0zJ4uCABkMngSYjPo_3c-nUUmio,5,AnVIL Project,UCBbHCj7kUogAMFyBAzzzfUw,https://i.ytimg.com/vi/7qvQ8DZHC9w/default.jpg,120,90,https://i.ytimg.com/vi/7qvQ8DZHC9w/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7qvQ8DZHC9w/hqdefault.jpg,480,360,https://i.ytimg.com/vi/7qvQ8DZHC9w/sddefault.jpg,640,480,https://i.ytimg.com/vi/7qvQ8DZHC9w/maxresdefault.jpg,1280,720,youtube#video,7qvQ8DZHC9w,7qvQ8DZHC9w,2022-05-03T19:47:28Z,public
youtube#playlistItem,rWbmdgbqMCDSeavCjeBDuvl5eMo,UEw2YVlKXzB6SjR1Q0FCa01uZ1NZalBvXzNjLW5VVW1pby41MzJCQjBCNDIyRkJDN0VD,2022-05-03T20:28:38Z,UCBbHCj7kUogAMFyBAzzzfUw,Scalability on AnVIL,"This video will give you a quick introduction to how AnVIL can help you easily scale up your computational needs for data analysis.

Check out the Getting Started Guide here: https://jhudatascience.org/AnVIL_Book_Getting_Started/

You can see the slides for this video here: https://docs.google.com/presentation/d/1mGuqXAzzIfDLllH3HoHqo0ni6uZbZvdVI9tefsgXo70/edit?usp=sharing.",AnVIL Project,PL6aYJ_0zJ4uCABkMngSYjPo_3c-nUUmio,6,AnVIL Project,UCBbHCj7kUogAMFyBAzzzfUw,https://i.ytimg.com/vi/PJBuPW3cjkw/default.jpg,120,90,https://i.ytimg.com/vi/PJBuPW3cjkw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/PJBuPW3cjkw/hqdefault.jpg,480,360,https://i.ytimg.com/vi/PJBuPW3cjkw/sddefault.jpg,640,480,https://i.ytimg.com/vi/PJBuPW3cjkw/maxresdefault.jpg,1280,720,youtube#video,PJBuPW3cjkw,PJBuPW3cjkw,2022-05-03T20:29:54Z,public
youtube#playlistItem,DaGoyvWSoeb8v8WQJfgB1fE23Iw,UEw2YVlKXzB6SjR1Q0FCa01uZ1NZalBvXzNjLW5VVW1pby5EMEEwRUY5M0RDRTU3NDJC,2023-03-06T16:34:35Z,UCBbHCj7kUogAMFyBAzzzfUw,Migrate your tools & pipelines on AnVIL,"This video will give you a quick introduction to the AnVIL project and how it can help you migrate and use your own Tools and Pipelines.

Check out the Getting Started Guide here: https://jhudatascience.org/AnVIL_Book_Getting_Started/

AnVIL Help: https://help.anvilproject.org/

You can see the slides for this video here: https://docs.google.com/presentation/d/1KdOVMq-BzMjEBVCuWNVA4joTB7CpUu59uWy3SK1zeXY/edit?usp=sharing.",AnVIL Project,PL6aYJ_0zJ4uCABkMngSYjPo_3c-nUUmio,7,AnVIL Project,UCBbHCj7kUogAMFyBAzzzfUw,https://i.ytimg.com/vi/wXceBLcNj4s/default.jpg,120,90,https://i.ytimg.com/vi/wXceBLcNj4s/mqdefault.jpg,320,180,https://i.ytimg.com/vi/wXceBLcNj4s/hqdefault.jpg,480,360,https://i.ytimg.com/vi/wXceBLcNj4s/sddefault.jpg,640,480,NA,NA,NA,youtube#video,wXceBLcNj4s,wXceBLcNj4s,2023-03-06T16:38:29Z,public
youtube#playlistItem,uikMhWrNCwV44ahJx0EoyCA93tg,UEw2YVlKXzB6SjR1Q0FCa01uZ1NZalBvXzNjLW5VVW1pby41MjE1MkI0OTQ2QzJGNzNG,2022-05-03T19:56:42Z,UCBbHCj7kUogAMFyBAzzzfUw,Standardization on AnVIL,"This video will give you a quick introduction to the AnVIL project and how you standardize your data analysis.

Check out the Getting Started Guide here: https://jhudatascience.org/AnVIL_Book_Getting_Started/

You can see the slides for this video here: https://docs.google.com/presentation/d/1YS1OxIG-u5rZmzdcOEOlJYCXL0UeEWfIz9yXIYB5uDo/edit?usp=sharing.",AnVIL Project,PL6aYJ_0zJ4uCABkMngSYjPo_3c-nUUmio,8,AnVIL Project,UCBbHCj7kUogAMFyBAzzzfUw,https://i.ytimg.com/vi/uHR5-o7bYGk/default.jpg,120,90,https://i.ytimg.com/vi/uHR5-o7bYGk/mqdefault.jpg,320,180,https://i.ytimg.com/vi/uHR5-o7bYGk/hqdefault.jpg,480,360,https://i.ytimg.com/vi/uHR5-o7bYGk/sddefault.jpg,640,480,https://i.ytimg.com/vi/uHR5-o7bYGk/maxresdefault.jpg,1280,720,youtube#video,uHR5-o7bYGk,uHR5-o7bYGk,2022-05-03T19:57:54Z,public
youtube#playlistItem,T_LNmhTw9noAtemRezgbsXv18s4,UEw2YVlKXzB6SjR1Q0FCa01uZ1NZalBvXzNjLW5VVW1pby4xMkVGQjNCMUM1N0RFNEUx,2022-05-03T20:00:36Z,UCBbHCj7kUogAMFyBAzzzfUw,Sharing on AnVIL for Instructors,"This video will give you a quick introduction to the AnVIL project and how easy it makes it to share lessons, data, and Workspaces for teaching purposes.

Check out the Getting Started Guide here: https://jhudatascience.org/AnVIL_Book_Getting_Started/
Check out the Instructor Guide here: https://jhudatascience.org/AnVIL_Book_Instructor_Guide/

You can see the slides for this video here: https://docs.google.com/presentation/d/1QJfkcwhCN0KzOC9zmfxhmsUI3I8UbSnDMUdyM2yJnEo/edit?usp=sharing.",AnVIL Project,PL6aYJ_0zJ4uCABkMngSYjPo_3c-nUUmio,9,AnVIL Project,UCBbHCj7kUogAMFyBAzzzfUw,https://i.ytimg.com/vi/6bjnPtWtHhg/default.jpg,120,90,https://i.ytimg.com/vi/6bjnPtWtHhg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/6bjnPtWtHhg/hqdefault.jpg,480,360,https://i.ytimg.com/vi/6bjnPtWtHhg/sddefault.jpg,640,480,https://i.ytimg.com/vi/6bjnPtWtHhg/maxresdefault.jpg,1280,720,youtube#video,6bjnPtWtHhg,6bjnPtWtHhg,2022-05-03T20:02:29Z,public
